FID,osmid,y,x,highway,street_cou,ref
2653,341182255.000000000000000,39.924070899999997,116.397359100000003, ,3.000000000000000, 
2654,341182265.000000000000000,39.922752400000000,116.397440799999998, ,4.000000000000000, 
2655,341182377.000000000000000,39.923104100000003,116.397307699999999, ,3.000000000000000, 
2656,341201393.000000000000000,39.920861600000002,116.400629600000002, ,3.000000000000000, 
2657,341202013.000000000000000,39.920878999999999,116.404727399999999, ,3.000000000000000, 
2658,341202431.000000000000000,39.917042600000002,116.402683699999997, ,3.000000000000000, 
2659,341202933.000000000000000,39.918660799999998,116.402580799999996, ,3.000000000000000, 
2660,341202941.000000000000000,39.920851900000002,116.402725599999997, ,3.000000000000000, 
2661,341203021.000000000000000,39.918617500000003,116.400728700000002, ,3.000000000000000, 
2662,341203429.000000000000000,39.918632500000001,116.401379500000004, ,3.000000000000000, 
